learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),model training instances,model serialized size (bytes)
100000.0,0.46875,-1.2126596023639043E-13,100000.0,72.39999999999999,42.96224348508957,40.38876889848812,100000.0,-1.0
200000.0,0.765625,-1.9806773505277105E-13,200000.0,73.7,45.07422289423342,42.57641921397379,200000.0,-1.0
300000.0,1.09375,-2.8295390721824435E-13,300000.0,74.5,46.44387317909169,46.42857142857142,300000.0,-1.0
400000.0,1.40625,-3.637978807091713E-13,400000.0,73.0,43.5134626247411,45.89178356713426,400000.0,-1.0
500000.0,1.6875,-4.365574568510056E-13,500000.0,76.5,49.8617464327166,50.10615711252654,500000.0,-1.0
600000.0,1.984375,-5.133592316673862E-13,600000.0,74.7,46.95260540286666,51.717557251908396,600000.0,-1.0
700000.0,2.3125,-5.982454038328596E-13,700000.0,76.6,50.842814648000946,50.943396226415096,700000.0,-1.0
800000.0,2.640625,-6.831315759983329E-13,800000.0,72.7,42.98579030466055,43.595041322314046,800000.0,-1.0
900000.0,2.921875,-7.558911521401671E-13,900000.0,72.89999999999999,43.59337274165348,46.96673189823875,900000.0,-1.0
1000000.0,3.234375,-8.367351256310941E-13,1000000.0,72.6,42.58750167627732,43.96728016359918,1000000.0,-1.0
1100000.0,3.53125,-9.135369004474748E-13,1100000.0,71.6,40.203224814819485,41.20082815734989,1100000.0,-1.0
1200000.0,3.859375,-9.98423072612948E-13,1200000.0,74.5,45.75299103116119,49.70414201183432,1200000.0,-1.0
1300000.0,4.171875,-1.079267046103875E-12,1300000.0,73.6,44.10924102889807,46.0122699386503,1300000.0,-1.0
1400000.0,4.453125,-1.1520266222457092E-12,1400000.0,73.4,43.54071860354547,45.82484725050916,1400000.0,-1.0
1500000.0,4.734375,-1.2247861983875436E-12,1500000.0,73.0,43.18253557404578,44.78527607361963,1500000.0,-1.0
1600000.0,5.078125,-1.3137145692275632E-12,1600000.0,74.2,45.342920213374455,45.45454545454545,1600000.0,-1.0
1700000.0,5.359375,-1.3864741453693975E-12,1700000.0,72.7,42.32280636519592,43.3609958506224,1700000.0,-1.0
1800000.0,5.625,-1.4551915228366855E-12,1800000.0,74.8,47.93560543453109,48.676171079429736,1800000.0,-1.0
1900000.0,5.921875,-1.5319932976530662E-12,1900000.0,73.0,43.36654431043524,43.86694386694386,1900000.0,-1.0
2000000.0,6.21875,-1.6087950724694469E-12,2000000.0,72.3,41.890224970840215,44.48897795591182,2000000.0,-1.0
2100000.0,6.5,-1.6815546486112812E-12,2100000.0,70.7,37.685030795930174,41.282565130260515,2100000.0,-1.0
2200000.0,6.78125,-1.7543142247531155E-12,2200000.0,74.3,45.68203914274845,44.37229437229437,2200000.0,-1.0
2300000.0,7.078125,-1.8311159995694962E-12,2300000.0,71.89999999999999,41.19272045405079,40.466101694915245,2300000.0,-1.0
2400000.0,7.359375,-1.9038755757113305E-12,2400000.0,72.5,41.97381858694643,43.53182751540041,2400000.0,-1.0
2500000.0,7.640625,-1.976635151853165E-12,2500000.0,72.89999999999999,42.83906348871545,43.541666666666664,2500000.0,-1.0
2600000.0,7.921875,-2.049394727994999E-12,2600000.0,76.0,49.95579428495171,50.617283950617285,2600000.0,-1.0
2700000.0,8.21875,-2.1261965028113797E-12,2700000.0,74.5,46.547604074959125,49.0,2700000.0,-1.0
2800000.0,8.515625,-2.20299827762776E-12,2800000.0,73.1,42.69279931827866,45.10204081632653,2800000.0,-1.0
2900000.0,8.78125,-2.271715655095048E-12,2900000.0,72.3,41.674387265223615,44.37751004016064,2900000.0,-1.0
3000000.0,9.09375,-2.352559628585975E-12,3000000.0,73.5,43.42200777146761,45.0207468879668,3000000.0,-1.0
3100000.0,9.390625,-2.4293614034023555E-12,3100000.0,72.7,42.700506250472245,43.94250513347022,3100000.0,-1.0
3200000.0,9.671875,-2.50212097954419E-12,3200000.0,76.3,50.09307536156198,50.0,3200000.0,-1.0
3300000.0,9.953125,-2.574880555686024E-12,3300000.0,76.3,49.5590138255125,51.03305785123967,3300000.0,-1.0
3400000.0,10.265625,-2.655724529176951E-12,3400000.0,73.6,45.111606400319346,44.88517745302714,3400000.0,-1.0
3500000.0,10.546875,-2.7284841053187855E-12,3500000.0,74.0,45.19970492148804,48.61660079051383,3500000.0,-1.0
3600000.0,10.8125,-2.7972014827860733E-12,3600000.0,73.6,43.817594456669326,46.45030425963488,3600000.0,-1.0
3700000.0,11.09375,-2.8699610589279076E-12,3700000.0,74.2,45.61734848740346,43.79084967320261,3700000.0,-1.0
3800000.0,11.375,-2.942720635069742E-12,3800000.0,74.6,45.069204152249135,51.05973025048169,3800000.0,-1.0
3900000.0,11.71875,-3.0316490059097617E-12,3900000.0,71.39999999999999,40.03262560648821,40.9090909090909,3900000.0,-1.0
4000000.0,12.0,-3.104408582051596E-12,4000000.0,75.5,47.529383545214685,52.1484375,4000000.0,-1.0
4100000.0,12.28125,-3.1771681581934304E-12,4100000.0,71.8,40.852479371777825,45.559845559845556,4100000.0,-1.0
4200000.0,12.5625,-3.2499277343352647E-12,4200000.0,73.2,42.47223426680004,43.220338983050844,4200000.0,-1.0
4300000.0,12.84375,-3.322687310477099E-12,4300000.0,76.8,51.55746912832677,54.1501976284585,4300000.0,-1.0
4400000.0,13.15625,-3.403531283968026E-12,4400000.0,75.0,47.59459176186982,46.92144373673035,4400000.0,-1.0
4500000.0,13.421875,-3.472248661435314E-12,4500000.0,74.0,45.063071819468796,46.721311475409834,4500000.0,-1.0
4600000.0,13.6875,-3.5409660389026016E-12,4600000.0,74.6,46.6890544653164,48.26883910386965,4600000.0,-1.0
4700000.0,14.015625,-3.625852211068075E-12,4700000.0,75.5,48.26333750042234,51.581027667984195,4700000.0,-1.0
4800000.0,14.328125,-3.706696184559002E-12,4800000.0,75.3,48.08350358581145,48.10924369747899,4800000.0,-1.0
4900000.0,14.59375,-3.77541356202629E-12,4900000.0,72.39999999999999,42.05770716469046,43.6734693877551,4900000.0,-1.0
5000000.0,14.890625,-3.8522153368426706E-12,5000000.0,73.4,43.966970003370406,46.5863453815261,5000000.0,-1.0
5100000.0,15.21875,-3.937101509008144E-12,5100000.0,72.7,42.88989674158619,44.73684210526315,5100000.0,-1.0
5200000.0,15.484375,-4.005818886475432E-12,5200000.0,73.2,43.469456631792106,41.7391304347826,5200000.0,-1.0
5300000.0,15.765625,-4.078578462617267E-12,5300000.0,72.89999999999999,42.98145950631622,43.659043659043654,5300000.0,-1.0
5400000.0,16.109375,-4.1675068334572865E-12,5400000.0,73.5,44.269190325972666,44.44444444444444,5400000.0,-1.0
5500000.0,16.390625,-4.240266409599121E-12,5500000.0,75.1,47.55686604886268,50.790513833992094,5500000.0,-1.0
5600000.0,16.703125,-4.3211103830900475E-12,5600000.0,73.6,44.70324072522537,45.67901234567901,5600000.0,-1.0
5700000.0,17.0625,-4.4140809526046135E-12,5700000.0,74.3,46.11029565946739,47.33606557377049,5700000.0,-1.0
5800000.0,17.40625,-4.503009323444633E-12,5800000.0,72.7,43.11741565542071,45.4,5800000.0,-1.0
5900000.0,17.734375,-4.587895495610107E-12,5900000.0,73.4,43.12909694992367,46.0446247464503,5900000.0,-1.0
6000000.0,18.125,-4.688950462473765E-12,6000000.0,71.7,40.641491387772554,39.65884861407248,6000000.0,-1.0
6100000.0,18.453125,-4.773836634639239E-12,6100000.0,74.9,47.24762929585043,48.45995893223819,6100000.0,-1.0
6200000.0,18.765625,-4.8546806081301656E-12,6200000.0,74.9,46.41103377599386,46.82203389830508,6200000.0,-1.0
6300000.0,19.078125,-4.935524581621092E-12,6300000.0,71.6,41.8925831202046,44.53124999999999,6300000.0,-1.0
6400000.0,19.375,-5.012326356437473E-12,6400000.0,73.2,41.0794767505771,45.638945233265716,6400000.0,-1.0
6500000.0,19.703125,-5.0972125286029464E-12,6500000.0,74.2,44.80693122259065,47.45417515274949,6500000.0,-1.0
6600000.0,19.984375,-5.169972104744781E-12,6600000.0,74.7,45.96141687883396,47.401247401247396,6600000.0,-1.0
6700000.0,20.28125,-5.246773879561161E-12,6700000.0,75.0,48.123093523687,49.1869918699187,6700000.0,-1.0
6800000.0,20.546875,-5.315491257028449E-12,6800000.0,73.7,43.64978016986484,44.86373165618448,6800000.0,-1.0
6900000.0,20.8125,-5.3842086344957375E-12,6900000.0,74.2,44.634005021566985,47.02258726899384,6900000.0,-1.0
7000000.0,21.109375,-5.461010409312118E-12,7000000.0,71.1,38.58224878227089,37.715517241379295,7000000.0,-1.0
7100000.0,21.453125,-5.549938780152138E-12,7100000.0,74.6,45.81818802368641,48.478701825557806,7100000.0,-1.0
7200000.0,21.734375,-5.622698356293972E-12,7200000.0,70.5,37.724823940688694,38.92339544513457,7200000.0,-1.0
7300000.0,22.015625,-5.6954579324358065E-12,7300000.0,73.3,43.41733845332247,47.544204322200386,7300000.0,-1.0
7400000.0,22.375,-5.7884285019503725E-12,7400000.0,73.7,43.968161985274065,45.32224532224532,7400000.0,-1.0
7500000.0,22.65625,-5.861188078092207E-12,7500000.0,71.5,40.263093910608426,42.19066937119675,7500000.0,-1.0
7600000.0,22.9375,-5.933947654234041E-12,7600000.0,71.89999999999999,40.65971195675128,42.41803278688524,7600000.0,-1.0
7700000.0,23.28125,-6.022876025074061E-12,7700000.0,76.1,49.537177798047374,50.92402464065708,7700000.0,-1.0
7800000.0,23.578125,-6.0996777998904414E-12,7800000.0,74.8,46.140266135478605,45.336225596529275,7800000.0,-1.0
7900000.0,23.859375,-6.172437376032276E-12,7900000.0,74.1,45.55025774279539,49.01574803149607,7900000.0,-1.0
8000000.0,24.171875,-6.2532813495232024E-12,8000000.0,71.5,41.55045118949959,42.65593561368208,8000000.0,-1.0
8100000.0,24.484375,-6.334125323014129E-12,8100000.0,72.7,41.9707005177999,45.61752988047809,8100000.0,-1.0
8200000.0,24.75,-6.402842700481417E-12,8200000.0,73.0,42.33356827064779,46.10778443113772,8200000.0,-1.0
8300000.0,25.03125,-6.4756022766232516E-12,8300000.0,73.7,43.64784833343332,45.09394572025052,8300000.0,-1.0
8400000.0,25.390625,-6.5685728461378176E-12,8400000.0,72.1,40.076804783546244,44.53280318091451,8400000.0,-1.0
8500000.0,25.671875,-6.641332422279652E-12,8500000.0,72.2,40.34462779768674,39.95680345572353,8500000.0,-1.0
8600000.0,25.9375,-6.71004979974694E-12,8600000.0,77.0,51.72630916150699,51.167728237791934,8600000.0,-1.0
8700000.0,26.3125,-6.807062567936052E-12,8700000.0,73.8,44.88387748232918,43.167028199566154,8700000.0,-1.0
8800000.0,26.59375,-6.8798221440778865E-12,8800000.0,74.7,44.76079020453791,46.84873949579831,8800000.0,-1.0
8900000.0,26.875,-6.952581720219721E-12,8900000.0,72.1,41.608344774470076,40.12875536480686,8900000.0,-1.0
9000000.0,27.21875,-7.041510091059741E-12,9000000.0,72.6,42.32064668238464,46.062992125984245,9000000.0,-1.0
9100000.0,27.5,-7.114269667201575E-12,9100000.0,72.3,41.40988544257745,45.579567779960705,9100000.0,-1.0
9200000.0,27.78125,-7.187029243343409E-12,9200000.0,72.39999999999999,43.02794107933152,41.89473684210526,9200000.0,-1.0
9300000.0,28.09375,-7.267873216834336E-12,9300000.0,71.1,37.55833650222974,42.084168336673336,9300000.0,-1.0
9400000.0,28.4375,-7.356801587674356E-12,9400000.0,71.3,40.5806943156221,43.28063241106719,9400000.0,-1.0
9500000.0,28.703125,-7.425518965141643E-12,9500000.0,72.3,41.53108351134338,41.43763213530654,9500000.0,-1.0
9600000.0,29.0,-7.502320739958024E-12,9600000.0,73.3,43.03440977674609,45.731707317073166,9600000.0,-1.0
9700000.0,29.296875,-7.579122514774406E-12,9700000.0,74.4,46.33686196415469,49.902152641878665,9700000.0,-1.0
9800000.0,29.578125,-7.65188209091624E-12,9800000.0,73.8,44.36540462489116,46.7479674796748,9800000.0,-1.0
9900000.0,29.90625,-7.736768263081714E-12,9900000.0,70.3,37.941410004596925,43.32061068702289,9900000.0,-1.0
1.0E7,30.1875,-7.809527839223548E-12,1.0E7,74.7,47.19485723827016,48.888888888888886,1.0E7,-1.0
1.01E7,30.484375,-7.88632961403993E-12,1.01E7,74.0,45.50248802102765,47.89579158316633,1.01E7,-1.0
1.02E7,30.78125,-7.96313138885631E-12,1.02E7,75.1,46.81123756792782,50.29940119760479,1.02E7,-1.0
1.03E7,31.0625,-8.035890964998145E-12,1.03E7,73.0,41.99037469920934,43.27731092436974,1.03E7,-1.0
1.04E7,31.328125,-8.104608342465432E-12,1.04E7,73.8,45.02727654217373,43.04347826086956,1.04E7,-1.0
1.05E7,31.625,-8.181410117281814E-12,1.05E7,72.39999999999999,40.70942462363374,42.01680672268907,1.05E7,-1.0
1.06E7,31.890625,-8.250127494749101E-12,1.06E7,73.4,43.98113048605846,46.8,1.06E7,-1.0
1.07E7,32.171875,-8.322887070890935E-12,1.07E7,72.3,42.18808698918896,42.29166666666666,1.07E7,-1.0
1.08E7,32.53125,-8.415857640405501E-12,1.08E7,74.2,44.65205881469594,43.66812227074235,1.08E7,-1.0
1.09E7,32.84375,-8.496701613896428E-12,1.09E7,72.7,42.155624676876656,40.9090909090909,1.09E7,-1.0
1.1E7,33.125,-8.569461190038262E-12,1.1E7,73.6,44.17967378939667,46.0122699386503,1.1E7,-1.0
1.11E7,33.421875,-8.646262964854644E-12,1.11E7,71.8,39.98978549540348,38.157894736842096,1.11E7,-1.0
1.12E7,33.703125,-8.719022540996478E-12,1.12E7,71.39999999999999,40.336120429246144,41.63265306122448,1.12E7,-1.0
1.13E7,33.96875,-8.787739918463765E-12,1.13E7,74.9,46.62345505737447,50.09940357852882,1.13E7,-1.0
1.14E7,34.265625,-8.864541693280147E-12,1.14E7,75.5,47.66969968815413,52.70270270270271,1.14E7,-1.0
1.15E7,34.53125,-8.933259070747434E-12,1.15E7,73.7,42.42708160030822,45.88477366255144,1.15E7,-1.0
1.16E7,34.8125,-9.006018646889268E-12,1.16E7,73.9,45.897316838579144,47.69539078156313,1.16E7,-1.0
1.17E7,35.09375,-9.078778223031103E-12,1.17E7,73.3,44.258872651356974,46.3855421686747,1.17E7,-1.0
1.18E7,35.390625,-9.155579997847484E-12,1.18E7,72.7,42.647058823529406,44.39918533604887,1.18E7,-1.0
1.19E7,35.671875,-9.228339573989318E-12,1.19E7,72.3,42.808770698269804,42.05020920502091,1.19E7,-1.0
1.2E7,35.953125,-9.301099150131152E-12,1.2E7,73.7,44.56575807906651,48.6328125,1.2E7,-1.0
1.21E7,36.234375,-9.373858726272987E-12,1.21E7,76.7,51.629243340197974,52.54582484725051,1.21E7,-1.0
1.22E7,36.546875,-9.454702699763913E-12,1.22E7,74.1,45.74689144350974,46.15384615384615,1.22E7,-1.0
1.23E7,36.828125,-9.527462275905748E-12,1.23E7,74.2,45.56249973625241,46.58385093167702,1.23E7,-1.0
1.24E7,37.109375,-9.600221852047582E-12,1.24E7,74.7,46.77628368030428,49.094567404426556,1.24E7,-1.0
1.25E7,37.40625,-9.677023626863963E-12,1.25E7,71.89999999999999,41.00951405275134,44.46640316205533,1.25E7,-1.0
1.26E7,37.6875,-9.749783203005798E-12,1.26E7,73.0,44.45541621408116,44.897959183673464,1.26E7,-1.0
1.27E7,37.984375,-9.826584977822179E-12,1.27E7,74.1,45.28061116698075,50.09633911368015,1.27E7,-1.0
1.28E7,38.28125,-9.90338675263856E-12,1.28E7,71.7,40.29838151654768,44.18145956607494,1.28E7,-1.0
1.29E7,38.5625,-9.976146328780395E-12,1.29E7,76.5,50.10827565708462,52.33265720081136,1.29E7,-1.0
1.3E7,38.84375,-1.0048905904922229E-11,1.3E7,72.89999999999999,44.09743136979858,47.37864077669903,1.3E7,-1.0
1.31E7,39.140625,-1.012570767973861E-11,1.31E7,73.5,43.54783734960291,40.84821428571428,1.31E7,-1.0
1.32E7,39.421875,-1.0198467255880445E-11,1.32E7,74.1,44.79071631381042,47.57085020242915,1.32E7,-1.0
1.33E7,39.703125,-1.0271226832022279E-11,1.33E7,74.9,46.94657456648376,48.45995893223819,1.33E7,-1.0
1.34E7,39.984375,-1.0343986408164113E-11,1.34E7,73.0,42.338248107840286,41.55844155844155,1.34E7,-1.0
1.35E7,40.28125,-1.0420788182980495E-11,1.35E7,72.6,39.424220584268866,43.27122153209109,1.35E7,-1.0
1.36E7,40.5625,-1.0493547759122329E-11,1.36E7,73.7,45.78482139912266,44.27966101694915,1.36E7,-1.0
1.37E7,40.84375,-1.0566307335264163E-11,1.37E7,73.8,45.772758883332784,43.65591397849462,1.37E7,-1.0
1.38E7,41.125,-1.0639066911405998E-11,1.38E7,74.0,45.42218042587493,45.263157894736835,1.38E7,-1.0
1.39E7,41.40625,-1.0711826487547832E-11,1.39E7,73.9,43.59244787164148,41.34831460674157,1.39E7,-1.0
1.4E7,41.6875,-1.0784586063689666E-11,1.4E7,74.0,45.11989192840256,46.50205761316872,1.4E7,-1.0
1.41E7,41.953125,-1.0853303441156954E-11,1.41E7,75.5,47.35620724034793,48.421052631578945,1.41E7,-1.0
1.42E7,42.234375,-1.0926063017298788E-11,1.42E7,73.2,43.48924397886329,44.96919917864476,1.42E7,-1.0
1.43E7,42.546875,-1.1006906990789715E-11,1.43E7,74.0,45.893076394814045,45.3781512605042,1.43E7,-1.0
1.44E7,42.84375,-1.1083708765606096E-11,1.44E7,74.9,48.04173221826612,47.26890756302521,1.44E7,-1.0
1.45E7,43.125,-1.115646834174793E-11,1.45E7,74.6,46.4440086870348,48.89336016096579,1.45E7,-1.0
1.46E7,43.4375,-1.1237312315238857E-11,1.46E7,73.5,44.55556578429814,46.35627530364373,1.46E7,-1.0
1.47E7,43.734375,-1.1314114090055238E-11,1.47E7,74.4,46.727264403407794,46.997929606625256,1.47E7,-1.0
1.48E7,44.0,-1.1382831467522525E-11,1.48E7,75.3,48.081757569133245,46.65226781857451,1.48E7,-1.0
1.49E7,44.3125,-1.1463675441013452E-11,1.49E7,75.1,47.53432393024804,47.90794979079498,1.49E7,-1.0
1.5E7,44.59375,-1.1536435017155286E-11,1.5E7,73.6,44.88080474025079,46.666666666666664,1.5E7,-1.0
1.51E7,44.875,-1.160919459329712E-11,1.51E7,75.0,47.82165860337365,48.559670781893004,1.51E7,-1.0
1.52E7,45.171875,-1.1685996368113502E-11,1.52E7,72.2,41.614056310932455,44.731610337972164,1.52E7,-1.0
1.53E7,45.484375,-1.1766840341604429E-11,1.53E7,72.8,42.5869638635596,45.81673306772908,1.53E7,-1.0
1.54E7,45.765625,-1.1839599917746263E-11,1.54E7,72.5,42.278791338880175,43.99185336048879,1.54E7,-1.0
1.55E7,46.046875,-1.1912359493888097E-11,1.55E7,74.2,47.35381501191681,47.5609756097561,1.55E7,-1.0
1.56E7,46.34375,-1.1989161268704479E-11,1.56E7,72.6,41.655203546682216,42.67782426778242,1.56E7,-1.0
1.57E7,46.609375,-1.2057878646171766E-11,1.57E7,74.3,46.05826546889429,48.9065606361829,1.57E7,-1.0
1.58E7,46.890625,-1.21306382223136E-11,1.58E7,72.5,41.62598174485247,43.298969072164944,1.58E7,-1.0
1.59E7,47.171875,-1.2203397798455435E-11,1.59E7,71.3,39.16656068506506,43.61493123772102,1.59E7,-1.0
1.6E7,47.46875,-1.2280199573271816E-11,1.6E7,78.0,53.50016909029422,56.60749506903353,1.6E7,-1.0
1.61E7,47.75,-1.235295914941365E-11,1.61E7,75.1,47.770711325155645,45.154185022026425,1.61E7,-1.0
1.62E7,48.03125,-1.2425718725555485E-11,1.62E7,74.4,46.267929930022376,47.755102040816325,1.62E7,-1.0
1.63E7,48.359375,-1.2510604897720958E-11,1.63E7,73.6,44.14353419092756,45.79055441478439,1.63E7,-1.0
1.64E7,48.65625,-1.258740667253734E-11,1.64E7,74.2,46.84796044499382,50.950570342205324,1.64E7,-1.0
1.65E7,48.953125,-1.2664208447353721E-11,1.65E7,72.1,39.636520986585886,41.1392405063291,1.65E7,-1.0
1.66E7,49.234375,-1.2736968023495555E-11,1.66E7,72.6,42.64518721950566,46.27450980392157,1.66E7,-1.0
1.67E7,49.515625,-1.280972759963739E-11,1.67E7,73.9,45.117796973698596,47.165991902834,1.67E7,-1.0
1.68E7,49.78125,-1.2878444977104677E-11,1.68E7,75.4,47.2064485391638,49.27835051546391,1.68E7,-1.0
1.69E7,50.0625,-1.2951204553246511E-11,1.69E7,73.8,45.63706307345636,44.72573839662447,1.69E7,-1.0
1.7E7,50.390625,-1.3036090725411985E-11,1.7E7,73.5,42.93515711135612,39.08045977011494,1.7E7,-1.0
1.71E7,50.703125,-1.3116934698902912E-11,1.71E7,74.7,45.725391935608435,47.94238683127572,1.71E7,-1.0
1.72E7,51.0,-1.3193736473719293E-11,1.72E7,74.4,46.173028482037346,45.299145299145295,1.72E7,-1.0
1.73E7,51.296875,-1.3270538248535674E-11,1.73E7,72.7,42.77449377436799,42.767295597484264,1.73E7,-1.0
1.74E7,51.578125,-1.3343297824677508E-11,1.74E7,74.6,45.99582424404785,49.60317460317461,1.74E7,-1.0
1.75E7,51.859375,-1.3416057400819343E-11,1.75E7,70.89999999999999,39.512608814945985,39.626556016597505,1.75E7,-1.0
1.76E7,52.140625,-1.3488816976961177E-11,1.76E7,75.5,47.61375299349983,48.529411764705884,1.76E7,-1.0
1.77E7,52.40625,-1.3557534354428464E-11,1.77E7,73.6,43.38821531348776,45.11434511434511,1.77E7,-1.0
1.78E7,52.6875,-1.3630293930570299E-11,1.78E7,73.9,46.429890889386954,48.111332007952285,1.78E7,-1.0
1.79E7,52.96875,-1.3703053506712133E-11,1.79E7,76.4,51.0830137838118,52.8942115768463,1.79E7,-1.0
1.8E7,53.265625,-1.3779855281528514E-11,1.8E7,73.8,44.97301157246971,43.65591397849462,1.8E7,-1.0
1.81E7,53.5625,-1.3856657056344896E-11,1.81E7,72.6,41.01158670220323,43.153526970954346,1.81E7,-1.0
1.82E7,53.84375,-1.392941663248673E-11,1.82E7,76.8,50.15469233413544,51.767151767151766,1.82E7,-1.0
1.83E7,54.109375,-1.3998134009954017E-11,1.83E7,73.2,43.75419744795164,44.28274428274428,1.83E7,-1.0
1.84E7,54.40625,-1.4074935784770399E-11,1.84E7,74.8,45.8995276942894,46.835443037974684,1.84E7,-1.0
1.85E7,54.6875,-1.4147695360912233E-11,1.85E7,74.3,46.40026695586886,48.80478087649402,1.85E7,-1.0
1.86E7,54.96875,-1.4220454937054067E-11,1.86E7,75.4,48.82335319375562,48.42767295597484,1.86E7,-1.0
1.87E7,55.234375,-1.4289172314521355E-11,1.87E7,74.1,45.94526906316264,45.243128964059196,1.87E7,-1.0
1.88E7,55.53125,-1.4365974089337736E-11,1.88E7,70.39999999999999,38.00683600294886,39.4683026584867,1.88E7,-1.0
1.89E7,55.8125,-1.443873366547957E-11,1.89E7,74.5,46.91304565061706,47.638603696098556,1.89E7,-1.0
1.9E7,56.09375,-1.4511493241621405E-11,1.9E7,74.2,44.01503348248191,46.361746361746356,1.9E7,-1.0
1.91E7,56.40625,-1.459233721511233E-11,1.91E7,73.7,44.693056980871795,44.39746300211416,1.91E7,-1.0
1.92E7,56.6875,-1.4665096791254164E-11,1.92E7,73.6,45.40130044175311,46.558704453441294,1.92E7,-1.0
1.93E7,56.96875,-1.4737856367395997E-11,1.93E7,72.6,43.5361224565496,45.09018036072144,1.93E7,-1.0
1.94E7,57.234375,-1.4806573744863286E-11,1.94E7,75.1,47.60101010101011,48.23284823284823,1.94E7,-1.0
1.95E7,57.53125,-1.4883375519679665E-11,1.95E7,74.5,45.75391422736556,46.87499999999999,1.95E7,-1.0
1.96E7,57.796875,-1.4952092897146954E-11,1.96E7,71.6,38.78465995309697,42.27642276422763,1.96E7,-1.0
1.97E7,58.078125,-1.5024852473288787E-11,1.97E7,73.3,43.56849980978146,46.49298597194388,1.97E7,-1.0
1.98E7,58.390625,-1.5105696446779714E-11,1.98E7,76.7,50.37823286877705,49.23747276688453,1.98E7,-1.0
1.99E7,58.671875,-1.5178456022921546E-11,1.99E7,73.8,43.66560591726155,46.31147540983606,1.99E7,-1.0
